competencia,period_date,year,month,uf,state_abbrev,state_name,macroregion,formal_hiring_balance_construction,source_archive,source_status
201604,2016-04-01,2016,4,51,MT,Mato Grosso,Center-West,138,CAGEDEST_042016.7z,integrity_ok
201604,2016-04-01,2016,4,15,PA,Para,North,-1039,CAGEDEST_042016.7z,integrity_ok
201604,2016-04-01,2016,4,25,PB,Paraiba,Northeast,-294,CAGEDEST_042016.7z,integrity_ok
201604,2016-04-01,2016,4,26,PE,Pernambuco,Northeast,-1440,CAGEDEST_042016.7z,integrity_ok
201604,2016-04-01,2016,4,22,PI,Piaui,Northeast,-625,CAGEDEST_042016.7z,integrity_ok
201604,2016-04-01,2016,4,41,PR,Parana,South,-558,CAGEDEST_042016.7z,integrity_ok
201604,2016-04-01,2016,4,33,RJ,Rio de Janeiro,Southeast,-4370,CAGEDEST_042016.7z,integrity_ok
201604,2016-04-01,2016,4,24,RN,Rio Grande do Norte,Northeast,-585,CAGEDEST_042016.7z,integrity_ok
201604,2016-04-01,2016,4,11,RO,Rondonia,North,-604,CAGEDEST_042016.7z,integrity_ok
201604,2016-04-01,2016,4,14,RR,Roraima,North,-23,CAGEDEST_042016.7z,integrity_ok
201604,2016-04-01,2016,4,43,RS,Rio Grande do Sul,South,-7,CAGEDEST_042016.7z,integrity_ok
201604,2016-04-01,2016,4,42,SC,Santa Catarina,South,679,CAGEDEST_042016.7z,integrity_ok
201604,2016-04-01,2016,4,28,SE,Sergipe,Northeast,-64,CAGEDEST_042016.7z,integrity_ok
201604,2016-04-01,2016,4,35,SP,Sao Paulo,Southeast,-3424,CAGEDEST_042016.7z,integrity_ok
201604,2016-04-01,2016,4,17,TO,Tocantins,North,231,CAGEDEST_042016.7z,integrity_ok
201605,2016-05-01,2016,5,12,AC,Acre,North,15,CAGEDEST_052016.7z,salvaged_exit_2
201605,2016-05-01,2016,5,27,AL,Alagoas,Northeast,-642,CAGEDEST_052016.7z,salvaged_exit_2
201605,2016-05-01,2016,5,13,AM,Amazonas,North,106,CAGEDEST_052016.7z,salvaged_exit_2
201605,2016-05-01,2016,5,16,AP,Amapa,North,-27,CAGEDEST_052016.7z,salvaged_exit_2
201605,2016-05-01,2016,5,29,BA,Bahia,Northeast,-3554,CAGEDEST_052016.7z,salvaged_exit_2
201605,2016-05-01,2016,5,23,CE,Ceara,Northeast,-446,CAGEDEST_052016.7z,salvaged_exit_2
201605,2016-05-01,2016,5,53,DF,Distrito Federal,Center-West,0,implicit_zero_fill,implicit_zero_fill
