outcome,short_label,channel,channel_slug,pseudo_treated_state,pre_rmspe,crisis_rmspe,post_rmspe,mean_gap_crisis,mean_gap_post,post_pre_rmspe_ratio,abs_post_mean_gap
public_investment_share_total_ma4_clean,"Investimento/despesa total, MM4",Setor público estadual,public_sector,RS,0.002723299540004984,,0.028558506660435964,,-0.026944064559172348,10.486729880762105,0.026944064559172348
public_investment_share_total_ma4_clean,"Investimento/despesa total, MM4",Setor público estadual,public_sector,SC,0.0032780890865820368,,0.018217335121712433,,-0.01768644071132413,5.557303246052745,0.01768644071132413
public_investment_share_total_ma4_clean,"Investimento/despesa total, MM4",Setor público estadual,public_sector,SE,0.0015442872578485829,,0.012999705099928292,,-0.01091821645536336,8.417931983741662,0.01091821645536336
public_investment_share_total_ma4_clean,"Investimento/despesa total, MM4",Setor público estadual,public_sector,SP,7.199510806583728e-4,,0.005289942598765723,,0.002365219457291389,7.34764172300184,0.002365219457291389
retail_volume_index_ma6_clean,"Comércio, MM6",Consumo das famílias,consumption,AC,0.4087523729334685,,8.29041639924958,,6.858127804914696,20.282246534135687,6.858127804914696
retail_volume_index_ma6_clean,"Comércio, MM6",Consumo das famílias,consumption,AL,0.19815190663729396,,12.992232960892986,,-12.375341060069353,65.56703481372271,12.375341060069353
retail_volume_index_ma6_clean,"Comércio, MM6",Consumo das famílias,consumption,AP,0.30997566754119366,,13.524680810351773,,12.509425057134393,43.631427323418656,12.509425057134393
retail_volume_index_ma6_clean,"Comércio, MM6",Consumo das famílias,consumption,BA,0.15705212403533064,,3.0769452028413533,,-0.7153193993349836,19.59187258205537,0.7153193993349836
retail_volume_index_ma6_clean,"Comércio, MM6",Consumo das famílias,consumption,CE,0.1236087656860741,,4.828406311353764,,-1.666169396310068,39.062005712574944,1.666169396310068
retail_volume_index_ma6_clean,"Comércio, MM6",Consumo das famílias,consumption,DF,0.38046324822393224,,16.35809092228645,,-15.4137357888439,42.99519335612264,15.4137357888439
retail_volume_index_ma6_clean,"Comércio, MM6",Consumo das famílias,consumption,ES,0.44273456636977687,,7.344967333950019,,6.860674091218215,16.59000198284816,6.860674091218215
retail_volume_index_ma6_clean,"Comércio, MM6",Consumo das famílias,consumption,GO,0.17472030013366785,,3.1348291976572145,,2.9044131451636552,17.94198610727516,2.9044131451636552
