year,bimester,uf,annex_name,no_anexo,rows,status,error_message,downloaded_at
2015,3,43,annex01,RREO-Anexo 01,540,downloaded,,2026-05-28
2015,3,43,annex02,RREO-Anexo 02,1215,downloaded,,2026-05-28
2015,3,43,annex06,RREO-Anexo 06,164,downloaded,,2026-05-28
2015,3,50,annex01,RREO-Anexo 01,488,downloaded,,2026-05-28
2015,3,50,annex02,RREO-Anexo 02,1000,downloaded,,2026-05-28
2015,3,50,annex06,RREO-Anexo 06,166,downloaded,,2026-05-28
2015,3,51,annex01,RREO-Anexo 01,520,downloaded,,2026-05-28
2015,3,51,annex02,RREO-Anexo 02,1211,downloaded,,2026-05-28
2015,3,51,annex06,RREO-Anexo 06,146,downloaded,,2026-05-28
2015,3,52,annex01,RREO-Anexo 01,482,downloaded,,2026-05-28
2015,3,52,annex02,RREO-Anexo 02,1163,downloaded,,2026-05-28
2015,3,52,annex06,RREO-Anexo 06,165,downloaded,,2026-05-28
2015,3,53,annex01,RREO-Anexo 01,455,downloaded,,2026-05-28
2015,3,53,annex02,RREO-Anexo 02,1165,downloaded,,2026-05-28
2015,3,53,annex06,RREO-Anexo 06,168,downloaded,,2026-05-28
2015,4,11,annex01,RREO-Anexo 01,445,downloaded,,2026-05-28
2015,4,11,annex02,RREO-Anexo 02,912,downloaded,,2026-05-28
2015,4,11,annex06,RREO-Anexo 06,161,downloaded,,2026-05-28
2015,4,12,annex01,RREO-Anexo 01,509,downloaded,,2026-05-28
2015,4,12,annex02,RREO-Anexo 02,1198,downloaded,,2026-05-28
2015,4,12,annex06,RREO-Anexo 06,158,downloaded,,2026-05-28
2015,4,13,annex01,RREO-Anexo 01,527,downloaded,,2026-05-28
2015,4,13,annex02,RREO-Anexo 02,1298,downloaded,,2026-05-28
2015,4,13,annex06,RREO-Anexo 06,170,downloaded,,2026-05-28
2015,4,14,annex01,RREO-Anexo 01,455,downloaded,,2026-05-28
2015,4,14,annex02,RREO-Anexo 02,1082,downloaded,,2026-05-28
2015,4,14,annex06,RREO-Anexo 06,160,downloaded,,2026-05-28
2015,4,15,annex01,RREO-Anexo 01,475,downloaded,,2026-05-28
