dropped_donor,period_date,bim_event_time,loo_gap
MS,2017-10-01,-7,0.027558195003877906
MS,2017-12-01,-6,0.02477631440674788
MS,2019-02-01,1,-0.6629050439504249
MS,2019-04-01,2,-0.3056479466863111
MS,2019-06-01,3,-0.07308879500321641
MS,2019-08-01,4,-0.2607785512753491
MS,2019-10-01,5,-0.2659359767466034
MS,2019-12-01,6,0.8588929578324196
MS,2020-02-01,7,0.97429636998507
MS,2020-04-01,8,-0.16278119144160286
MS,2020-06-01,9,-0.4982413340150931
MS,2020-08-01,10,0.0033950697275582087
MS,2020-10-01,11,-0.0996432421893223
MT,2015-08-01,-20,0.09886860467985414
MT,2015-10-01,-19,0.06774065879046365
MT,2015-12-01,-18,0.009968076572877571
MT,2016-02-01,-17,0.015499335862648955
MT,2016-04-01,-16,0.06750044388635779
MT,2016-06-01,-15,0.045856621638151296
MT,2016-08-01,-14,0.09772345546534389
MT,2016-10-01,-13,0.1969692245411947
MT,2016-12-01,-12,0.10182400947170045
MT,2017-02-01,-11,0.0361555538034084
MT,2017-04-01,-10,0.13499817536464587
MT,2017-06-01,-9,0.11509181629722143
MT,2017-08-01,-8,0.053510901228573715
MT,2017-10-01,-7,0.029163531198864945
MT,2017-12-01,-6,0.02645590931345687
MT,2019-02-01,1,-0.6609637234935537
MT,2019-04-01,2,-0.30413508872760353
MT,2019-06-01,3,-0.07117999616749948
MT,2019-08-01,4,-0.25938809174499244
MT,2019-10-01,5,-0.26464729533787157
MT,2019-12-01,6,0.8605841761444317
MT,2020-02-01,7,0.975992643862031
MT,2020-04-01,8,-0.1613581896043801
MT,2020-06-01,9,-0.49687190514850066
MT,2020-08-01,10,0.004793286290835752
MT,2020-10-01,11,-0.0983200492528562
PA,2015-08-01,-20,0.09386571989819803
PA,2015-10-01,-19,0.06290676429136344
PA,2015-12-01,-18,0.005429964808293164
PA,2016-02-01,-17,0.011080787731123642
PA,2016-04-01,-16,0.06265923377777849
PA,2016-06-01,-15,0.040713413133886434
PA,2016-08-01,-14,0.0923598396269254
PA,2016-10-01,-13,0.19159189674683663
PA,2016-12-01,-12,0.09689962316344136
PA,2017-02-01,-11,0.03179572112388751
PA,2017-04-01,-10,0.13032066216174876
PA,2017-06-01,-9,0.11031613311638377
PA,2017-08-01,-8,0.04909202158774484
PA,2017-10-01,-7,0.02482555635711403
PA,2017-12-01,-6,0.02197332879349201
PA,2019-02-01,1,-0.6628704278337247
PA,2019-04-01,2,-0.30805157465155464
PA,2019-06-01,3,-0.07619081299364527
PA,2019-08-01,4,-0.2629771213818035
PA,2019-10-01,5,-0.26798264820079787
PA,2019-12-01,6,0.8562904253035359
PA,2020-02-01,7,0.9713767683634673
PA,2020-04-01,8,-0.1659837160405928
PA,2020-06-01,9,-0.5015789224857743
PA,2020-08-01,10,6.253312560211555e-5
PA,2020-10-01,11,-0.10277603490111975
PB,2015-08-01,-20,0.09733826616134245
PB,2015-10-01,-19,0.0662906677934405
PB,2015-12-01,-18,0.008658883763810188
PB,2016-02-01,-17,0.014289531054543225
PB,2016-04-01,-16,0.06612578775985067
PB,2016-06-01,-15,0.04429882688011322
PB,2016-08-01,-14,0.09611446207956575
PB,2016-10-01,-13,0.1954244091213191
PB,2016-12-01,-12,0.10045331286849368
PB,2017-02-01,-11,0.03500581590615681
PB,2017-04-01,-10,0.13375432964392608
PB,2017-06-01,-9,0.11376682976046748
PB,2017-08-01,-8,0.052263219526696325
PB,2017-10-01,-7,0.027949701071827704
PB,2017-12-01,-6,0.025239315842976673
PB,2019-02-01,1,-0.659251618309173
PB,2019-04-01,2,-0.30511558243743764
PB,2019-06-01,3,-0.07248311647774397
PB,2019-08-01,4,-0.2602791718250099
PB,2019-10-01,5,-0.2654817511748844
PB,2019-12-01,6,0.8595685328448717
PB,2020-02-01,7,0.974679420439732
PB,2020-04-01,8,-0.1631772135791909
PB,2020-06-01,9,-0.49886589164756145
PB,2020-08-01,10,0.0028290106476953625
PB,2020-10-01,11,-0.10015899520017513
PE,2015-08-01,-20,0.09721655662277229
PE,2015-10-01,-19,0.06613488127781153
PE,2015-12-01,-18,0.00844323077961917
PE,2016-02-01,-17,0.013993074316617893
PE,2016-04-01,-16,0.06586644275319031
PE,2016-06-01,-15,0.044153090063791645
PE,2016-08-01,-14,0.09594174422518353
PE,2016-10-01,-13,0.19516023836542473
PE,2016-12-01,-12,0.10015276000423867
PE,2017-02-01,-11,0.034654672733272385
PE,2017-04-01,-10,0.13339136946646057
PE,2017-06-01,-9,0.11346959722218575
PE,2017-08-01,-8,0.052017097846441374
PE,2017-10-01,-7,0.027693415453934556
PE,2017-12-01,-6,0.02492424515341707
PE,2019-02-01,1,-0.6623569999535119
PE,2019-04-01,2,-0.3055007561343448
PE,2019-06-01,3,-0.07291106463609864
PE,2019-08-01,4,-0.26064204959745574
PE,2019-10-01,5,-0.2658105066258516
PE,2019-12-01,6,0.8590672292489003
PE,2020-02-01,7,0.9744355461088237
PE,2020-04-01,8,-0.16275118021246548
PE,2020-06-01,9,-0.4982418899791572
PE,2020-08-01,10,0.0034031633043802856
PE,2020-10-01,11,-0.09963317256227011
PI,2015-08-01,-20,0.09623001204349269
PI,2015-10-01,-19,0.06520851556401297
PI,2015-12-01,-18,0.007622351717700759
PI,2016-02-01,-17,0.013254641201706718
PI,2016-04-01,-16,0.06501133403937054
PI,2016-06-01,-15,0.043153370224349175
PI,2016-08-01,-14,0.09491376411534969
PI,2016-10-01,-13,0.19419363156487268
PI,2016-12-01,-12,0.09930880470658199
PI,2017-02-01,-11,0.0339672793027459
PI,2017-04-01,-10,0.13264420611855954
PI,2017-06-01,-9,0.11265517453061058
PI,2017-08-01,-8,0.05124319689636003
PI,2017-10-01,-7,0.026944000169767612
PI,2017-12-01,-6,0.02418517946840204
PI,2019-02-01,1,-0.6605818354118842
PI,2019-04-01,2,-0.30606920793105097
PI,2019-06-01,3,-0.07368395490247526
PI,2019-08-01,4,-0.26115600552270024
PI,2019-10-01,5,-0.26629409445549257
PI,2019-12-01,6,0.85849959368793
PI,2020-02-01,7,0.9736178479529602
PI,2020-04-01,8,-0.1640420413852235
PI,2020-06-01,9,-0.49968943085146034
PI,2020-08-01,10,0.001985590764593148
PI,2020-10-01,11,-0.10095787477725349
PR,2015-08-01,-20,0.09681079620528976
PR,2015-10-01,-19,0.06573756201249381
PR,2015-12-01,-18,0.008060655446440634
PR,2016-02-01,-17,0.013608655108429346
PR,2016-04-01,-16,0.06545427747867016
PR,2016-06-01,-15,0.04373310674599917
PR,2016-08-01,-14,0.09550090417878643
PR,2016-10-01,-13,0.1947057239368828
PR,2016-12-01,-12,0.09972844650337365
PR,2017-02-01,-11,0.03426727931919604
PR,2017-04-01,-10,0.13297764681379842
PR,2017-06-01,-9,0.11305730334295294
PR,2017-08-01,-8,0.05163959236359794
PR,2017-10-01,-7,0.02732079916142638
PR,2017-12-01,-6,0.024532281109777898
PR,2019-02-01,1,-0.6629333757175084
PR,2019-04-01,2,-0.30585837041962893
PR,2019-06-01,3,-0.07335966172194208
PR,2019-08-01,4,-0.2609711298777144
PR,2019-10-01,5,-0.2661151588937303
PR,2019-12-01,6,0.8586642717439936
PR,2020-02-01,7,0.974043033775656
PR,2020-04-01,8,-0.16305208532076332
PR,2020-06-01,9,-0.4985218379824916
PR,2020-08-01,10,0.003114497318186693
PR,2020-10-01,11,-0.09990713809059493
RN,2015-08-01,-20,0.0965101007041449
RN,2015-10-01,-19,0.06545376212441667
RN,2015-12-01,-18,0.007806466979999982
RN,2016-02-01,-17,0.01337642456142607
RN,2016-04-01,-16,0.06518828006038202
RN,2016-06-01,-15,0.04342761455638211
RN,2016-08-01,-14,0.09518597934669693
RN,2016-10-01,-13,0.1944060535562242
RN,2016-12-01,-12,0.09946436416453164
RN,2017-02-01,-11,0.034048479665009346
RN,2017-04-01,-10,0.13274047459941407
RN,2017-06-01,-9,0.11280221118090861
RN,2017-08-01,-8,0.05139845851771874
RN,2017-10-01,-7,0.027086668854369833
RN,2017-12-01,-6,0.024299211607440974
RN,2019-02-01,1,-0.6625081972602072
RN,2019-04-01,2,-0.30604261486012785
RN,2019-06-01,3,-0.07360683021378289
RN,2019-08-01,4,-0.26113822129943376
RN,2019-10-01,5,-0.26627193534032134
RN,2019-12-01,6,0.8584762243667132
RN,2020-02-01,7,0.9737888173805773
RN,2020-04-01,8,-0.1634251328122147
RN,2020-06-01,9,-0.49893506606657834
RN,2020-08-01,10,0.0027085368966526246
RN,2020-10-01,11,-0.10028687609530262
RO,2015-08-01,-20,0.09677637297819697
RO,2015-10-01,-19,0.06570100732042672
RO,2015-12-01,-18,0.008020350936353005
RO,2016-02-01,-17,0.013561951969869313
RO,2016-04-01,-16,0.06540875451560701
RO,2016-06-01,-15,0.04369593981047171
RO,2016-08-01,-14,0.09546035576792189
RO,2016-10-01,-13,0.19465722093393367
RO,2016-12-01,-12,0.0996789710635353
RO,2017-02-01,-11,0.03421613953527913
RO,2017-04-01,-10,0.13292396848521015
RO,2017-06-01,-9,0.11300882543490243
RO,2017-08-01,-8,0.051597229703229885
RO,2017-10-01,-7,0.027277946620241522
RO,2017-12-01,-6,0.024483666064511134
RO,2019-02-01,1,-0.6632103738942563
RO,2019-04-01,2,-0.30591032566762966
RO,2019-06-01,3,-0.0734205400050687
RO,2019-08-01,4,-0.26101959588718593
RO,2019-10-01,5,-0.26615946830086656
RO,2019-12-01,6,0.8586004946492833
RO,2020-02-01,7,0.9739999229300187
RO,2020-04-01,8,-0.1630374539324997
RO,2020-06-01,9,-0.49849051890945706
RO,2020-08-01,10,0.00314140274882746
RO,2020-10-01,11,-0.09988308780333188
RS,2015-08-01,-20,0.13723333127974957
RS,2015-10-01,-19,0.10925633497948262
RS,2015-12-01,-18,0.06171344330848694
RS,2016-02-01,-17,0.061313429518703444
RS,2016-04-01,-16,0.10141255798292548
RS,2016-06-01,-15,0.08185155885812367
RS,2016-08-01,-14,0.12664713937679206
RS,2016-10-01,-13,0.22539030545807748
RS,2016-12-01,-12,0.1451585873650405
RS,2017-02-01,-11,0.08916714296304296
RS,2017-04-01,-10,0.17515052288135458
RS,2017-06-01,-9,0.14572324312434848
RS,2017-08-01,-8,0.11974851944701737
RS,2017-10-01,-7,0.12176150096176208
RS,2017-12-01,-6,0.052264783648232616
RS,2019-02-01,1,-0.4922347687948525
RS,2019-04-01,2,-0.23290090429885257
RS,2019-06-01,3,-0.02542597159091553
RS,2019-08-01,4,-0.1772467841310661
RS,2019-10-01,5,-0.18450248532371827
RS,2019-12-01,6,0.9129307549389782
RS,2020-02-01,7,1.0345042855958937
RS,2020-04-01,8,-0.08620219164637266
RS,2020-06-01,9,-0.4192633012225375
RS,2020-08-01,10,0.07204537140841438
RS,2020-10-01,11,-0.03444529862867274
SE,2015-08-01,-20,0.09762543095792697
SE,2015-10-01,-19,0.06654316561572671
SE,2015-12-01,-18,0.00885055921398692
SE,2016-02-01,-17,0.014419613346698057
SE,2016-04-01,-16,0.06631111654601263
SE,2016-06-01,-15,0.044580569376472035
SE,2016-08-01,-14,0.09639472167899577
SE,2016-10-01,-13,0.19564588305874153
SE,2016-12-01,-12,0.10061779768841905
SE,2017-02-01,-11,0.03509584071525218
SE,2017-04-01,-10,0.13385991624372195
SE,2017-06-01,-9,0.11392258467024963
SE,2017-08-01,-8,0.05242623458277329
SE,2017-10-01,-7,0.028100140330806767
SE,2017-12-01,-6,0.025361922457092234
SE,2019-02-01,1,-0.6611421086941967
SE,2019-04-01,2,-0.305080305965304
SE,2019-06-01,3,-0.07239558538620372
SE,2019-08-01,4,-0.26025332276269353
SE,2019-10-01,5,-0.2654521891505386
SE,2019-12-01,6,0.8595555404187527
SE,2020-02-01,7,0.974858345589487
SE,2020-04-01,8,-0.16255960328490726
SE,2020-06-01,9,-0.49811287833338636
SE,2020-08-01,10,0.003551173228734328
SE,2020-10-01,11,-0.09948857207491191
SP,2015-08-01,-20,0.09483729147154563
