transfer_sheet,transfer_scope,transfer_variable,competencia,period_date,year,month,state_abbrev,state_name,macroregion,state_name_raw,transfer_value_nominal
FPE,states_direct,fpe,199107,1991-07-01,1991,7,PB,Paraiba,Northeast,Paraíba,6174465783.9
FPE,states_direct,fpe,199107,1991-07-01,1991,7,PE,Pernambuco,Northeast,Pernambuco,8896625279.73
FPE,states_direct,fpe,199107,1991-07-01,1991,7,PI,Piaui,Northeast,Piauí,5571704658.38
FPE,states_direct,fpe,199107,1991-07-01,1991,7,PR,Parana,South,Paraná,3717392250.44
FPE,states_direct,fpe,199107,1991-07-01,1991,7,RJ,Rio de Janeiro,Southeast,Rio de Janeiro,1969707318.6
FPE,states_direct,fpe,199107,1991-07-01,1991,7,RN,Rio Grande do Norte,Northeast,Rio Grande do Norte,5386686002.73
FPE,states_direct,fpe,199107,1991-07-01,1991,7,RO,Rondonia,North,Rondônia,3630233636.36
FPE,states_direct,fpe,199107,1991-07-01,1991,7,RR,Roraima,North,Roraima,3198437484.62
FPE,states_direct,fpe,199107,1991-07-01,1991,7,RS,Rio Grande do Sul,South,Rio Grande do Sul,3036111012.53
FPE,states_direct,fpe,199107,1991-07-01,1991,7,SC,Santa Catarina,South,Santa Catarina,1650082756
FPE,states_direct,fpe,199107,1991-07-01,1991,7,SE,Sergipe,Northeast,Sergipe,5357547176.14
FPE,states_direct,fpe,199107,1991-07-01,1991,7,SP,Sao Paulo,Southeast,São Paulo,1289328610.73
FPE,states_direct,fpe,199107,1991-07-01,1991,7,TO,Tocantins,North,Tocantins,5595686170.56
FPE,states_direct,fpe,199108,1991-08-01,1991,8,AC,Acre,North,Acre,4948363455.57
FPE,states_direct,fpe,199108,1991-08-01,1991,8,AL,Alagoas,Northeast,Alagoas,6017447182.57
FPE,states_direct,fpe,199108,1991-08-01,1991,8,AM,Amazonas,North,Amazonas,4036221393.29
FPE,states_direct,fpe,199108,1991-08-01,1991,8,AP,Amapa,North,Amapá,4935345252.98
FPE,states_direct,fpe,199108,1991-08-01,1991,8,BA,Bahia,Northeast,Bahia,13591292809.5
FPE,states_direct,fpe,199108,1991-08-01,1991,8,CE,Ceara,Northeast,Ceará,10612583407.55
FPE,states_direct,fpe,199108,1991-08-01,1991,8,DF,Distrito Federal,Center-West,Distrito Federal,998351492.85
FPE,states_direct,fpe,199108,1991-08-01,1991,8,ES,Espirito Santo,Southeast,Espírito Santo,2169700433.61
FPE,states_direct,fpe,199108,1991-08-01,1991,8,GO,Goias,Center-West,Goiás,4112450201.86
FPE,states_direct,fpe,199108,1991-08-01,1991,8,MA,Maranhao,Northeast,Maranhão,10440887779.9
FPE,states_direct,fpe,199108,1991-08-01,1991,8,MG,Minas Gerais,Southeast,Minas Gerais,6443287054.32
FPE,states_direct,fpe,199108,1991-08-01,1991,8,MS,Mato Grosso do Sul,Center-West,Mato Grosso do Sul,1926693984.99
FPE,states_direct,fpe,199108,1991-08-01,1991,8,MT,Mato Grosso,Center-West,Mato Grosso,3338301087.15
FPE,states_direct,fpe,199108,1991-08-01,1991,8,PA,Para,North,Pará,8840806033.47
FPE,states_direct,fpe,199108,1991-08-01,1991,8,PB,Paraiba,Northeast,Paraíba,6926985604.33
FPE,states_direct,fpe,199108,1991-08-01,1991,8,PE,Pernambuco,Northeast,Pernambuco,9980911287.98
FPE,states_direct,fpe,199108,1991-08-01,1991,8,PI,Piaui,Northeast,Piauí,6250762302.53
FPE,states_direct,fpe,199108,1991-08-01,1991,8,PR,Parana,South,Paraná,4170453526.78
FPE,states_direct,fpe,199108,1991-08-01,1991,8,RJ,Rio de Janeiro,Southeast,Rio de Janeiro,2209767568.29
FPE,states_direct,fpe,199108,1991-08-01,1991,8,RN,Rio Grande do Norte,Northeast,Rio Grande do Norte,6043194294.37
FPE,states_direct,fpe,199108,1991-08-01,1991,8,RO,Rondonia,North,Rondônia,4072672360.57
FPE,states_direct,fpe,199108,1991-08-01,1991,8,RR,Roraima,North,Roraima,3588250577.1
