competencia,period_date,year,month,uf,state_abbrev,state_name,macroregion,formal_hiring_balance,source_regime,source_component,post_2020_caged_dummy,caged_method_break_dummy,series_version
200708,2007-08-01,2007,8,13,AM,Amazonas,North,3346,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200708,2007-08-01,2007,8,14,RR,Roraima,North,61,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200708,2007-08-01,2007,8,15,PA,Para,North,5720,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200708,2007-08-01,2007,8,16,AP,Amapa,North,316,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200708,2007-08-01,2007,8,17,TO,Tocantins,North,699,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200708,2007-08-01,2007,8,21,MA,Maranhao,Northeast,2393,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200708,2007-08-01,2007,8,22,PI,Piaui,Northeast,860,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200708,2007-08-01,2007,8,23,CE,Ceara,Northeast,9582,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200708,2007-08-01,2007,8,24,RN,Rio Grande do Norte,Northeast,4833,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200708,2007-08-01,2007,8,25,PB,Paraiba,Northeast,4903,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200708,2007-08-01,2007,8,26,PE,Pernambuco,Northeast,12205,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200708,2007-08-01,2007,8,27,AL,Alagoas,Northeast,500,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200708,2007-08-01,2007,8,28,SE,Sergipe,Northeast,1098,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200708,2007-08-01,2007,8,29,BA,Bahia,Northeast,3484,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200708,2007-08-01,2007,8,31,MG,Minas Gerais,Southeast,-16281,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200708,2007-08-01,2007,8,32,ES,Espirito Santo,Southeast,722,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200708,2007-08-01,2007,8,33,RJ,Rio de Janeiro,Southeast,8976,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200708,2007-08-01,2007,8,35,SP,Sao Paulo,Southeast,59049,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200708,2007-08-01,2007,8,41,PR,Parana,South,12036,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200708,2007-08-01,2007,8,42,SC,Santa Catarina,South,7141,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
