competencia,period_date,year,month,uf,state_abbrev,state_name,macroregion,formal_hiring_balance_construction,source_regime,source_component,post_2020_caged_dummy,caged_method_break_dummy,series_version
200704,2007-04-01,2007,4,33,RJ,Rio de Janeiro,Southeast,1127,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200704,2007-04-01,2007,4,24,RN,Rio Grande do Norte,Northeast,95,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200704,2007-04-01,2007,4,11,RO,Rondonia,North,44,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200704,2007-04-01,2007,4,14,RR,Roraima,North,50,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200704,2007-04-01,2007,4,43,RS,Rio Grande do Sul,South,424,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200704,2007-04-01,2007,4,42,SC,Santa Catarina,South,306,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200704,2007-04-01,2007,4,28,SE,Sergipe,Northeast,178,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200704,2007-04-01,2007,4,35,SP,Sao Paulo,Southeast,1264,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200704,2007-04-01,2007,4,17,TO,Tocantins,North,159,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200705,2007-05-01,2007,5,12,AC,Acre,North,8,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200705,2007-05-01,2007,5,27,AL,Alagoas,Northeast,83,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200705,2007-05-01,2007,5,13,AM,Amazonas,North,63,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200705,2007-05-01,2007,5,16,AP,Amapa,North,20,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200705,2007-05-01,2007,5,29,BA,Bahia,Northeast,963,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200705,2007-05-01,2007,5,23,CE,Ceara,Northeast,216,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200705,2007-05-01,2007,5,53,DF,Distrito Federal,Center-West,185,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200705,2007-05-01,2007,5,32,ES,Espirito Santo,Southeast,250,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200705,2007-05-01,2007,5,52,GO,Goias,Center-West,556,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200705,2007-05-01,2007,5,21,MA,Maranhao,Northeast,32,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200705,2007-05-01,2007,5,31,MG,Minas Gerais,Southeast,2635,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200705,2007-05-01,2007,5,50,MS,Mato Grosso do Sul,Center-West,72,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200705,2007-05-01,2007,5,51,MT,Mato Grosso,Center-West,170,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200705,2007-05-01,2007,5,15,PA,Para,North,111,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200705,2007-05-01,2007,5,25,PB,Paraiba,Northeast,152,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200705,2007-05-01,2007,5,26,PE,Pernambuco,Northeast,265,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200705,2007-05-01,2007,5,22,PI,Piaui,Northeast,42,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200705,2007-05-01,2007,5,41,PR,Parana,South,477,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200705,2007-05-01,2007,5,33,RJ,Rio de Janeiro,Southeast,809,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200705,2007-05-01,2007,5,24,RN,Rio Grande do Norte,Northeast,300,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200705,2007-05-01,2007,5,11,RO,Rondonia,North,62,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200705,2007-05-01,2007,5,14,RR,Roraima,North,51,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200705,2007-05-01,2007,5,43,RS,Rio Grande do Sul,South,337,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200705,2007-05-01,2007,5,42,SC,Santa Catarina,South,313,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200705,2007-05-01,2007,5,28,SE,Sergipe,Northeast,41,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200705,2007-05-01,2007,5,35,SP,Sao Paulo,Southeast,1548,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200705,2007-05-01,2007,5,17,TO,Tocantins,North,338,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200706,2007-06-01,2007,6,12,AC,Acre,North,-4,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200706,2007-06-01,2007,6,27,AL,Alagoas,Northeast,44,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200706,2007-06-01,2007,6,13,AM,Amazonas,North,153,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200706,2007-06-01,2007,6,16,AP,Amapa,North,2,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200706,2007-06-01,2007,6,29,BA,Bahia,Northeast,1373,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200706,2007-06-01,2007,6,23,CE,Ceara,Northeast,696,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200706,2007-06-01,2007,6,53,DF,Distrito Federal,Center-West,227,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200706,2007-06-01,2007,6,32,ES,Espirito Santo,Southeast,319,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200706,2007-06-01,2007,6,52,GO,Goias,Center-West,371,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200706,2007-06-01,2007,6,21,MA,Maranhao,Northeast,71,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200706,2007-06-01,2007,6,31,MG,Minas Gerais,Southeast,2914,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200706,2007-06-01,2007,6,50,MS,Mato Grosso do Sul,Center-West,136,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200706,2007-06-01,2007,6,51,MT,Mato Grosso,Center-West,121,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200706,2007-06-01,2007,6,15,PA,Para,North,229,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200706,2007-06-01,2007,6,25,PB,Paraiba,Northeast,-183,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200706,2007-06-01,2007,6,26,PE,Pernambuco,Northeast,65,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
