state_abbrev,period_date,year,month,retail,services,formal_hiring,construction,icms_confaz,tax_confaz,treated_unit,donor_pool_main,excluded_from_main_donor_pool,analysis_period,pre_instability_clean,instability_start_date,removal_date,donor_pool_exclusion_reason,event_time,icms_nominal,population,retail_ma6,retail_ma6_log,icms_pc,icms_sum6m_pc,icms_conf6m_pc_log
ES,2006-11-01,2006,11,63.4963834373541,,,,4.98807308759537,5.05468819651441,FALSE,TRUE,FALSE,pre,TRUE,2009-03-03,2009-04-17,,-29,463108011,3464285,61.4769224031696,4.118661858913353,133.68069053210115,750.986746760154,6.621388004151897
ES,2006-12-01,2006,12,66.1937047689211,,,,4.9900162705463,5.05694605891529,FALSE,TRUE,FALSE,pre,TRUE,2009-03-03,2009-04-17,,-28,487798988,3464285,62.469462738634014,4.134677841158491,140.80798433154317,771.4270009540209,6.6482420476946364
ES,2007-01-01,2007,1,61.4777412042471,,122.396078756571,-11.2562004045912,5.0448858207558,5.11821777249679,FALSE,TRUE,FALSE,pre,TRUE,2009-03-03,2009-04-17,,-27,493087133,3351669,62.68103106336066,4.138058866991337,147.11689400116776,798.8932478519624,6.683227329645999
ES,2007-02-01,2007,2,64.9795075555993,,5.13356726644083,5.91711949030095,5.0687563361938,5.12145908645139,FALSE,TRUE,FALSE,pre,TRUE,2009-03-03,2009-04-17,,-26,471378141,3351669,63.342341089875234,4.148554001113843,140.63982481563662,818.474783006096,6.707442587547458
ES,2007-03-01,2007,3,64.2133640787819,,125.546308290314,-6.94462504023612,5.00450274770382,5.06160401134705,FALSE,TRUE,FALSE,pre,TRUE,2009-03-03,2009-04-17,,-25,420350988,3351669,63.75134340074565,4.154990256769377,125.41542377842204,816.4937601873125,6.705019270234732
ES,2007-04-01,2007,4,66.2669930937756,,146.58941602952,-17.4225088155149,5.03430917564667,5.11158763590462,FALSE,TRUE,FALSE,pre,TRUE,2009-03-03,2009-04-17,,-24,472819992,3351669,64.43794902311318,4.165702730103832,141.0700137752266,828.7308312340973,6.719895411499963
ES,2007-05-01,2007,5,65.6562729423561,,21.885556843633,10.8397290579133,5.03230134752106,5.12927084765971,FALSE,TRUE,FALSE,pre,TRUE,2009-03-03,2009-04-17,,-23,440554794,3351669,64.79793060728018,4.171273667775457,131.44340744864724,826.4935481506434,6.717192111000293
ES,2007-06-01,2007,6,63.6269051348549,,7.64192135882041,-3.15079569775964,5.0564584749307,5.12997029002305,FALSE,TRUE,FALSE,pre,TRUE,2009-03-03,2009-04-17,,-22,468595725,3351669,64.37013066826916,4.164649716018486,139.80966646766134,825.4952302867616,6.715983485374697
ES,2007-07-01,2007,7,64.9303767120222,,39.8389509823123,-6.35057599904193,5.12225134044382,5.19313176824786,FALSE,TRUE,FALSE,pre,TRUE,2009-03-03,2009-04-17,,-21,488659975,3351669,64.945569919565,4.173549533239406,145.7960123747303,824.1743486603242,6.714382095707855
ES,2007-08-01,2007,8,65.7406584097289,,33.5693627991587,-1.74377708392091,5.10688949074246,5.17452564669914,FALSE,TRUE,FALSE,pre,TRUE,2009-03-03,2009-04-17,,-20,498165302,3351669,65.07242839525327,4.175500932547017,148.63201049984352,832.1665343445311,6.724032582263366
ES,2007-09-01,2007,9,67.2378644886819,,47.8216320581941,5.45892171099504,5.094682396729,5.16134795123264,FALSE,TRUE,FALSE,pre,TRUE,2009-03-03,2009-04-17,,-19,503979946,3351669,65.57651179690326,4.183217579957691,150.36686080874932,857.1179713748584,6.753575565337403
ES,2007-10-01,2007,10,67.1083043227794,,-27.9356914355853,18.9240406646283,5.11706589296728,5.19010432579415,FALSE,TRUE,FALSE,pre,TRUE,2009-03-03,2009-04-17,,-18,518192313,3351669,65.71673033507057,4.185353540486971,154.60724582290197,870.6552034225338,6.769246035587788
ES,2007-11-01,2007,11,66.1007200404555,,68.814969858266,22.5715770909525,5.15656253768827,5.22361701541817,FALSE,TRUE,FALSE,pre,TRUE,2009-03-03,2009-04-17,,-17,554304235,3351669,65.79080485142046,4.1864800846667976,165.38155617395392,904.5933521478404,6.807485508075595
ES,2007-12-01,2007,12,71.0053401819898,,150.82043784059,64.2985888526179,5.08859329944147,5.15684595804309,FALSE,TRUE,FALSE,pre,TRUE,2009-03-03,2009-04-17,,-16,548379740,3351669,67.02054402594294,4.204999199643317,163.61393085057026,928.3976165307492,6.833460107109986
ES,2008-01-01,2008,1,69.1699978594923,,121.542123263094,38.2912802364571,5.12742249431859,5.20118098570407,FALSE,TRUE,FALSE,pre,TRUE,2009-03-03,2009-04-17,,-15,576360796,3453646,67.7271475505213,4.2154870973321446,166.8847345674687,949.4863387234877,6.855921142285209
ES,2008-02-01,2008,2,66.419594480699,,106.774253903621,3.18625015034877,5.1098355954911,5.17712293701175,FALSE,TRUE,FALSE,pre,TRUE,2009-03-03,2009-04-17,,-14,532406678,3453646,67.84030356234965,4.217156466154498,154.15786041765716,955.0121886413013,6.861724103374469
ES,2008-03-01,2008,3,71.3479275626808,,94.0714021434301,16.2480247448735,5.13112232822931,5.19400701729983,FALSE,TRUE,FALSE,pre,TRUE,2009-03-03,2009-04-17,,-13,518593620,3453646,68.5253140746828,4.227203225537453,150.15830226954355,954.8036301020956,6.861505696407694
ES,2008-04-01,2008,4,71.8735983680394,,110.249809690982,23.3260068949859,5.08290904430911,5.16486459385414,FALSE,TRUE,FALSE,pre,TRUE,2009-03-03,2009-04-17,,-12,537435378,3453646,69.31952974889279,4.238726681051931,155.61391584429904,955.8103001234927,6.862559462528232
ES,2008-05-01,2008,5,72.294021488313,,166.377757857989,15.1410750761834,5.14892742733917,5.22371999878182,FALSE,TRUE,FALSE,pre,TRUE,2009-03-03,2009-04-17,,-11,536292174,3453646,70.35174665686905,4.25350761135267,155.28290218511103,945.7116461346498,6.851937708775553
ES,2008-06-01,2008,6,72.0668287076386,,128.803671429513,22.0099014097258,5.16418497311553,5.23786765570401,FALSE,TRUE,FALSE,pre,TRUE,2009-03-03,2009-04-17,,-10,570682624,3453646,70.52866141114384,4.2560191720401805,165.24062512486805,947.3383404089475,6.853656305417207
ES,2008-07-01,2008,7,72.1780922245135,,95.1730875144261,20.3152396088412,5.1561276940513,5.23029282825239,FALSE,TRUE,FALSE,pre,TRUE,2009-03-03,2009-04-17,,-9,552033676,3453646,71.03001047198072,4.263102470440099,159.84083950700216,940.294445348481,6.846193065947154
ES,2008-08-01,2008,8,72.5839280747395,,76.6589713616506,2.89151560931779,5.20464591379314,5.26991175734499,FALSE,TRUE,FALSE,pre,TRUE,2009-03-03,2009-04-17,,-8,596202587,3453646,72.0573994043208,4.277463015358704,172.62990677098927,958.766491701813,6.8656475537870465
ES,2008-09-01,2008,9,72.2906200058825,,66.470974867145,6.68320579486961,5.21703271380754,5.28682329107291,FALSE,TRUE,FALSE,pre,TRUE,2009-03-03,2009-04-17,,-7,623041869,3453646,72.21451481152108,4.279641061864369,180.4011960114036,989.0093854436732,6.896703821409507
ES,2008-10-01,2008,10,71.3285724269672,,23.6582064540627,-8.26148715767493,5.18233480382901,5.25014203345702,FALSE,TRUE,FALSE,pre,TRUE,2009-03-03,2009-04-17,,-6,602983229,3453646,72.12367715467572,4.27838238365037,174.59323538081205,1007.9887049801862,6.9157122431917335
