state_abbrev,period_date,year,month,retail,services,formal_hiring,construction,treated_unit,donor_pool_main,excluded_from_main_donor_pool,analysis_period,pre_instability_clean,instability_start_date,removal_date,donor_pool_exclusion_reason,event_time,icms_nominal,caged_balance,population,retail_ma6,retail_ma6_log,icms_pc,icms_sum6m_pc,icms_conf6m_pc_log,formal_hiring_6m_per1k
RS,2019-07-01,2019,7,92.6809648895718,90.7117913335561,3.58767716370337,-1.78157825233239,FALSE,TRUE,FALSE,post,FALSE,2018-11-07,2018-12-10,,7,2818447444.67,-3648,11377239,92.79175902001292,4.5303578321852225,247.72683817840164,1499.0447531198035,7.312583352973683,0.32846281949425515
RS,2019-08-01,2019,8,89.8097617463605,90.3362568154011,-17.8450167771066,-3.98132536732004,FALSE,TRUE,FALSE,post,FALSE,2018-11-07,2018-12-10,,8,2894912022.89,-1988,11377239,91.97080285740924,4.521471166434068,254.44767600381778,1506.1410220731057,7.317306044130658,-1.820652620552315
RS,2019-09-01,2019,9,90.74382088901,89.6835261830952,-16.5374120188379,-2.35061193742521,FALSE,TRUE,FALSE,post,FALSE,2018-11-07,2018-12-10,,9,2930610422.08,1603,11377239,91.70177426377272,4.518541727644188,257.5853792014038,1517.2787148894383,7.32467369015193,-1.8941326625906338
RS,2019-10-01,2019,10,89.6644684197501,91.7139821043355,-10.2645594615867,-4.8359959345756,FALSE,TRUE,FALSE,post,FALSE,2018-11-07,2018-12-10,,10,2895240041.77,8319,11377239,91.25577789405276,4.513666309844893,254.4765071534491,1509.188149662673,7.319327135993778,-0.9433747502359755
RS,2019-11-01,2019,11,92.6177022321084,90.8751599708852,1.3738171790917,-1.11363698358001,FALSE,TRUE,FALSE,post,FALSE,2018-11-07,2018-12-10,,11,3352537721.79,12257,11377239,91.17703069008789,4.512803008890785,294.67058939255827,1554.2586022777582,7.348753927815011,1.1189885349160724
RS,2019-12-01,2019,12,98.5122364757544,89.7784261132909,14.8134372416307,-0.826785983545939,FALSE,TRUE,FALSE,post,FALSE,2018-11-07,2018-12-10,,12,3884623193.67,-18688,11377239,92.3381591087592,4.52545748086928,341.4381286769136,1650.3451186065442,7.408739707814984,-0.18853431838779164
RS,2020-01-01,2020,1,95.2751982428287,89.5649048885019,36.1121846274613,1.06124261831696,FALSE,TRUE,FALSE,post,FALSE,2018-11-07,2018-12-10,,13,3334673993.12,12964,11422973,92.770531334302,4.530129039085471,291.9269784774944,1694.545258905637,7.435169699988523,1.2664829024808164
RS,2020-02-01,2020,2,94.8055663983871,89.0388444073014,40.6756588412041,1.09093952869084,FALSE,TRUE,FALSE,post,FALSE,2018-11-07,2018-12-10,,14,3123355061.9,22574,11422973,93.60316544297311,4.539064201746886,273.4275097997693,1713.5250927015884,7.4463079853285885,3.41671121869937
RS,2020-03-01,2020,3,88.4130511461985,79.9842696308069,-168.032982586415,-7.95640451778676,FALSE,TRUE,FALSE,post,FALSE,2018-11-07,2018-12-10,,15,2887472732.05,-16159,11422973,93.2147038191712,4.5349054755478715,252.77769036572178,1708.7174038659064,7.443498311845036,1.861774513517628
RS,2020-04-01,2020,4,76.4248096612892,69.6397502756006,-619.75317698122706,-38.2855857139577,FALSE,TRUE,FALSE,post,FALSE,2018-11-07,2018-12-10,,16,2606217214.32,-82467,11422973,91.00809402609438,4.510948447903144,228.15577120947412,1682.3966679219316,7.427974643836084,-6.085893751127662
RS,2020-05-01,2020,5,88.4227677098314,73.4409335490149,-211.131053379386,-6.18235619410021,FALSE,TRUE,FALSE,post,FALSE,2018-11-07,2018-12-10,,17,2066995110.13,-37313,11422973,90.30893827238155,4.5032364397146,180.95071310507345,1568.6767916344468,7.357987735103965,-10.425394509818066
RS,2020-06-01,2020,6,90.1498394248058,74.2678797665135,-59.6885678866214,3.92654837389199,FALSE,TRUE,FALSE,post,FALSE,2018-11-07,2018-12-10,,18,2454386207.14,-8562,11422973,88.91520543055678,4.487683167608035,214.86404696395587,1442.102709921489,7.2738575427157555,-9.538935266677072
RS,2020-07-01,2020,7,89.9791746824198,76.4801046806915,56.2203497515082,4.78325120588263,FALSE,TRUE,FALSE,post,FALSE,2018-11-07,2018-12-10,,19,2729325271.11,89,11422973,88.0325348371553,4.4777064602093875,238.93300554155212,1389.1087369855468,7.236417624057127,-10.666049897868094
RS,2020-08-01,2020,8,92.2903952650514,78.4723797729427,39.1013501402975,6.36594015330078,FALSE,TRUE,FALSE,post,FALSE,2018-11-07,2018-12-10,,20,3016264055.58,5101,11422973,87.61333964826602,4.472933265438857,264.05245425862427,1379.7336814444016,7.229645775066775,-12.195686709580771
RS,2020-09-01,2020,9,93.3599296826651,79.5599612635803,93.0436765855966,10.5461984101977,FALSE,TRUE,FALSE,post,FALSE,2018-11-07,2018-12-10,,21,3319074031,14373,11422973,88.43781940434378,4.482299699470258,290.56131280359324,1417.5173038822732,7.256662242851753,-9.522827376025488
RS,2020-10-01,2020,10,93.8098355472439,81.3951058996317,121.417744031564,9.35000333083931,FALSE,TRUE,FALSE,post,FALSE,2018-11-07,2018-12-10,,22,3358904152.38,24572,11422973,91.33532371866957,4.514537610022685,294.04815649831266,1483.4096891711115,7.302098561013033,-0.15232461811824294
RS,2020-11-01,2020,11,92.9366732256096,84.6975772853914,144.763840207299,7.74002236087413,FALSE,TRUE,FALSE,post,FALSE,2018-11-07,2018-12-10,,23,3675444419.97,27571,11422973,92.0876413046326,4.522740746468269,321.7590044176765,1624.2179804837147,7.3927817361501145,5.527807865780651
SC,2015-12-01,2015,12,69.4760175521948,92.7016380020724,-69.409579947742,-21.2949185118564,FALSE,FALSE,TRUE,pre,TRUE,2018-11-07,2018-12-10,coded_removal_in_scm_window:SC_2020_01,-36,1353089581,-34971,6819190,,,198.4237982810275,,,
SC,2016-01-01,2016,1,67.2638408572816,93.4851178628613,-97.6720006365129,-10.9357527145536,FALSE,FALSE,TRUE,pre,TRUE,2018-11-07,2018-12-10,coded_removal_in_scm_window:SC_2020_01,-35,1671632122,7211,6910553,,,241.89556494248723,,,
SC,2016-02-01,2016,2,67.2310203218277,91.5769487161148,-92.9479343481646,-29.3761625691735,FALSE,FALSE,TRUE,pre,TRUE,2018-11-07,2018-12-10,coded_removal_in_scm_window:SC_2020_01,-34,1368186933,4793,6910553,,,197.98515878541124,,,
SC,2016-03-01,2016,3,66.7715428357151,91.977520285983,-44.5061186818721,-8.28725491361102,FALSE,FALSE,TRUE,pre,TRUE,2018-11-07,2018-12-10,coded_removal_in_scm_window:SC_2020_01,-33,1368855901,-3803,6910553,,,198.08196261572698,,,
SC,2016-04-01,2016,4,67.2624685612594,89.9145747152514,-74.0908383014763,-7.91615898406659,FALSE,FALSE,TRUE,pre,TRUE,2018-11-07,2018-12-10,coded_removal_in_scm_window:SC_2020_01,-32,1413639542,-2772,6910553,,,204.5624340049197,,,
SC,2016-05-01,2016,5,69.977677134764,89.7455047677646,-42.3500501138315,-0.597497734997673,FALSE,FALSE,TRUE,pre,TRUE,2018-11-07,2018-12-10,coded_removal_in_scm_window:SC_2020_01,-31,1371503867,-4815,6910553,67.99709454384043,4.219464976966806,198.46513976522573,1239.4140583947983,7.122394013367338,-4.97167158691931
SC,2016-06-01,2016,6,70.0957166609578,89.3788572312654,-8.46914078516782,-11.4737496080099,FALSE,FALSE,TRUE,pre,TRUE,2018-11-07,2018-12-10,coded_removal_in_scm_window:SC_2020_01,-30,1346233699,-8290,6910553,68.10037772863427,4.2209827598160645,194.80838928519904,1235.79864939897,7.119472719730158,-1.1107649416768817
SC,2016-07-01,2016,7,69.9629255283796,87.844582824886,-26.2032105211938,-9.90024787893605,FALSE,FALSE,TRUE,pre,TRUE,2018-11-07,2018-12-10,coded_removal_in_scm_window:SC_2020_01,-29,1395396609,-5819,6910553,68.55022517381727,4.2275666908142675,201.9225681360088,1195.8256525924915,7.086592148459969,-2.9962869831111925
SC,2016-08-01,2016,8,69.3802851296879,86.6563866943885,-2.69893683608191,-13.9288019802079,FALSE,FALSE,TRUE,pre,TRUE,2018-11-07,2018-12-10,coded_removal_in_scm_window:SC_2020_01,-28,1382992160,3014,6910553,68.9084359751273,4.232778608480102,200.1275672149537,1197.968061022034,7.0883821180712845,-3.2537193477859154
SC,2016-09-01,2016,9,70.4032418266083,87.0841432119039,-13.4041758143783,-6.67871110578318,FALSE,FALSE,TRUE,pre,TRUE,2018-11-07,2018-12-10,coded_removal_in_scm_window:SC_2020_01,-27,1489669186,3550,6910553,69.51371914027617,4.241524130792199,215.56439636596377,1215.4504947722708,7.10287006464397,-2.1896945150409817
SC,2016-10-01,2016,10,69.3550397905004,85.1807161584474,-45.8653705880003,-5.36541156327777,FALSE,FALSE,TRUE,pre,TRUE,2018-11-07,2018-12-10,coded_removal_in_scm_window:SC_2020_01,-26,985766949,1267,6910553,69.86248101181633,4.246528752802132,142.64660859991957,1153.5346693672707,7.050586132963851,-1.6052260940622263
SC,2016-11-01,2016,11,70.4860567783387,83.2410270478923,-59.0188007520079,-14.103583017345,FALSE,FALSE,TRUE,pre,TRUE,2018-11-07,2018-12-10,coded_removal_in_scm_window:SC_2020_01,-25,1486019803,-1013,6910553,69.94721095241212,4.247740828299598,215.03630794814828,1170.1058375501932,7.064849483145203,-1.0550530471295134
SC,2016-12-01,2016,12,69.0970801740265,81.2339271386892,19.7874223086569,-4.84151432283304,FALSE,FALSE,TRUE,pre,TRUE,2018-11-07,2018-12-10,coded_removal_in_scm_window:SC_2020_01,-24,1647490888,-26329,6910553,69.78077153792357,4.245358492417531,238.40217823378245,1213.6996264987765,7.101428516374588,-3.6654085425580267
