nivel_territorial_codigo,nivel_territorial,unidade_de_medida_codigo,unidade_de_medida,valor,brasil_codigo,brasil,variavel_codigo,variavel,mes_codigo,mes,downloaded_at
1,Brasil,30,Número-índice,0.1278267780427,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),199107,julho 1991,2026-05-13
1,Brasil,30,Número-índice,0.1478066592194,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),199108,agosto 1991,2026-05-13
1,Brasil,30,Número-índice,0.1709099599291,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),199109,setembro 1991,2026-05-13
1,Brasil,30,Número-índice,0.2054843245466,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),199110,outubro 1991,2026-05-13
1,Brasil,30,Número-índice,0.2572875157699,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),199111,novembro 1991,2026-05-13
1,Brasil,30,Número-índice,0.3182886773263,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),199112,dezembro 1991,2026-05-13
1,Brasil,30,Número-índice,0.4008536605699,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),199201,janeiro 1992,2026-05-13
1,Brasil,30,Número-índice,0.4983410307284,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),199202,fevereiro 1992,2026-05-13
1,Brasil,30,Número-índice,0.60498746741809994,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),199203,março 1992,2026-05-13
1,Brasil,30,Número-índice,0.7255614652283,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),199204,abril 1992,2026-05-13
1,Brasil,30,Número-índice,0.9059361644186,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),199205,maio 1992,2026-05-13
1,Brasil,30,Número-índice,1.0890285720637,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),199206,junho 1992,2026-05-13
1,Brasil,30,Número-índice,1.3267641484791,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),199207,julho 1992,2026-05-13
1,Brasil,30,Número-índice,1.6205100844213,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),199208,agosto 1992,2026-05-13
1,Brasil,30,Número-índice,2.0196408623306,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),199209,setembro 1992,2026-05-13
1,Brasil,30,Número-índice,2.5293973801068,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),199210,outubro 1992,2026-05-13
