nivel_territorial_codigo,nivel_territorial,unidade_de_medida_codigo,unidade_de_medida,valor,unidade_da_federacao_codigo,unidade_da_federacao,variavel_codigo,variavel,ano_codigo,ano,condicao_de_atividade_codigo,condicao_de_atividade,sexo_codigo,sexo,situacao_do_domicilio_codigo,situacao_do_domicilio,grupo_de_idade_codigo,grupo_de_idade,downloaded_at
3,Unidade da Federação,1572,Mil pessoas,1771,13,Amazonas,140,Pessoas de 10 anos ou mais de idade,2013,2013,3287,Economicamente ativa,0,Total,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,1278,13,Amazonas,140,Pessoas de 10 anos ou mais de idade,2013,2013,3288,Não economicamente ativa,0,Total,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,3154,13,Amazonas,140,Pessoas de 10 anos ou mais de idade,2014,2014,95355,Total,0,Total,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,1908,13,Amazonas,140,Pessoas de 10 anos ou mais de idade,2014,2014,3287,Economicamente ativa,0,Total,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,1246,13,Amazonas,140,Pessoas de 10 anos ou mais de idade,2014,2014,3288,Não economicamente ativa,0,Total,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,3216,13,Amazonas,140,Pessoas de 10 anos ou mais de idade,2015,2015,95355,Total,0,Total,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,1845,13,Amazonas,140,Pessoas de 10 anos ou mais de idade,2015,2015,3287,Economicamente ativa,0,Total,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,1372,13,Amazonas,140,Pessoas de 10 anos ou mais de idade,2015,2015,3288,Não economicamente ativa,0,Total,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,212,14,Roraima,140,Pessoas de 10 anos ou mais de idade,2001,2001,95355,Total,0,Total,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,123,14,Roraima,140,Pessoas de 10 anos ou mais de idade,2001,2001,3287,Economicamente ativa,0,Total,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,89,14,Roraima,140,Pessoas de 10 anos ou mais de idade,2001,2001,3288,Não economicamente ativa,0,Total,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,206,14,Roraima,140,Pessoas de 10 anos ou mais de idade,2002,2002,95355,Total,0,Total,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,108,14,Roraima,140,Pessoas de 10 anos ou mais de idade,2002,2002,3287,Economicamente ativa,0,Total,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,98,14,Roraima,140,Pessoas de 10 anos ou mais de idade,2002,2002,3288,Não economicamente ativa,0,Total,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,218,14,Roraima,140,Pessoas de 10 anos ou mais de idade,2003,2003,95355,Total,0,Total,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,138,14,Roraima,140,Pessoas de 10 anos ou mais de idade,2003,2003,3287,Economicamente ativa,0,Total,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,80,14,Roraima,140,Pessoas de 10 anos ou mais de idade,2003,2003,3288,Não economicamente ativa,0,Total,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,299,14,Roraima,140,Pessoas de 10 anos ou mais de idade,2004,2004,95355,Total,0,Total,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,168,14,Roraima,140,Pessoas de 10 anos ou mais de idade,2004,2004,3287,Economicamente ativa,0,Total,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,132,14,Roraima,140,Pessoas de 10 anos ou mais de idade,2004,2004,3288,Não economicamente ativa,0,Total,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,316,14,Roraima,140,Pessoas de 10 anos ou mais de idade,2005,2005,95355,Total,0,Total,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,210,14,Roraima,140,Pessoas de 10 anos ou mais de idade,2005,2005,3287,Economicamente ativa,0,Total,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,106,14,Roraima,140,Pessoas de 10 anos ou mais de idade,2005,2005,3288,Não economicamente ativa,0,Total,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,322,14,Roraima,140,Pessoas de 10 anos ou mais de idade,2006,2006,95355,Total,0,Total,0,Total,0,Total,2026-05-27
3,Unidade da Federação,1572,Mil pessoas,220,14,Roraima,140,Pessoas de 10 anos ou mais de idade,2006,2006,3287,Economicamente ativa,0,Total,0,Total,0,Total,2026-05-27
