period_date,analysis_period,treated_value,synthetic_value,gap,outcome,treated_state,placebo_state
2019-08-01,post,3392,5314.499627936324,-1922.499627936324,formal_hiring_balance,BA,BA
2019-09-01,post,4565,7733.573202990501,-3168.573202990501,formal_hiring_balance,BA,BA
2019-10-01,post,-589,2113.3203797767774,-2702.3203797767774,formal_hiring_balance,BA,BA
2019-11-01,post,3958,4193.7766665908775,-235.77666659087754,formal_hiring_balance,BA,BA
2019-12-01,post,-11374,-13237.171717933263,1863.1717179332627,formal_hiring_balance,BA,BA
2020-01-01,post,2837,3740.2672707805536,-903.2672707805536,formal_hiring_balance,BA,BA
2020-02-01,post,8089,8157.2362008370865,-68.23620083708647,formal_hiring_balance,BA,BA
2020-03-01,post,-16573,-16310.062207358606,-262.9377926413945,formal_hiring_balance,BA,BA
2020-04-01,post,-39776,-42044.45355947396,2268.4535594739573,formal_hiring_balance,BA,BA
2020-05-01,post,-20929,-17853.493925157243,-3075.506074842757,formal_hiring_balance,BA,BA
2020-06-01,post,-4722,-4405.876192601576,-316.1238073984241,formal_hiring_balance,BA,BA
2020-07-01,post,2429,2066.344885513369,362.6551144866312,formal_hiring_balance,BA,BA
2020-08-01,post,6906,7559.981351891976,-653.9813518919764,formal_hiring_balance,BA,BA
2020-09-01,post,16237,11462.854419207879,4774.145580792121,formal_hiring_balance,BA,BA
2020-10-01,post,14348,15426.61256169447,-1078.61256169447,formal_hiring_balance,BA,BA
2020-11-01,post,12300,16971.75146174007,-4671.75146174007,formal_hiring_balance,BA,BA
2020-12-01,post,-4357,-6648.731427977413,2291.7314279774127,formal_hiring_balance,BA,BA
2016-01-01,pre,-8146,-3218.5408920119085,-4927.459107988092,formal_hiring_balance,CE,CE
2016-02-01,pre,-4171,-6139.736351253652,1968.7363512536522,formal_hiring_balance,CE,CE
2016-03-01,pre,-4701,-5994.502221946998,1293.5022219469984,formal_hiring_balance,CE,CE
2016-04-01,pre,-2266,-2641.1067522996696,375.10675229966955,formal_hiring_balance,CE,CE
2016-05-01,pre,-2906,-3346.574104953451,440.57410495345084,formal_hiring_balance,CE,CE
2016-06-01,pre,-1926,-3250.800336689572,1324.8003366895719,formal_hiring_balance,CE,CE
2016-07-01,pre,-4677,-2845.1455652252907,-1831.8544347747093,formal_hiring_balance,CE,CE
2016-08-01,pre,406,622.652861563048,-216.65286156304796,formal_hiring_balance,CE,CE
2016-09-01,pre,993,-176.65905785843944,1169.6590578584394,formal_hiring_balance,CE,CE
2016-10-01,pre,-2136,-1887.2430780597854,-248.75692194021462,formal_hiring_balance,CE,CE
2016-11-01,pre,-665,-2493.8560599735274,1828.8560599735274,formal_hiring_balance,CE,CE
2016-12-01,pre,-6706,-11971.967277736632,5265.967277736632,formal_hiring_balance,CE,CE
2017-01-01,pre,-7436,-4339.034672540152,-3096.9653274598477,formal_hiring_balance,CE,CE
2017-02-01,pre,64,-2047.1164474465254,2111.1164474465254,formal_hiring_balance,CE,CE
2017-03-01,pre,-4675,-3424.0403285741604,-1250.9596714258396,formal_hiring_balance,CE,CE
2017-04-01,pre,-675,783.7201568621279,-1458.7201568621279,formal_hiring_balance,CE,CE
2017-05-01,pre,-2940,3.543067900923404,-2943.5430679009232,formal_hiring_balance,CE,CE
2017-06-01,pre,133,80.95814121751144,52.04185878248856,formal_hiring_balance,CE,CE
2017-07-01,pre,1871,348.7313319405115,1522.2686680594884,formal_hiring_balance,CE,CE
2017-08-01,pre,4975,2229.5494959327234,2745.4505040672766,formal_hiring_balance,CE,CE
2017-09-01,pre,2161,2072.510197723918,88.48980227608217,formal_hiring_balance,CE,CE
2017-10-01,pre,2918,3425.6845264100816,-507.6845264100816,formal_hiring_balance,CE,CE
2017-11-01,pre,2861,464.1728715128209,2396.827128487179,formal_hiring_balance,CE,CE
2017-12-01,pre,-4563,-7320.291622976365,2757.291622976365,formal_hiring_balance,CE,CE
2018-01-01,pre,1653,-144.09791744753306,1797.097917447533,formal_hiring_balance,CE,CE
2018-02-01,pre,-375,-258.12090307682035,-116.87909692317965,formal_hiring_balance,CE,CE
2018-03-01,pre,238,-583.6408672875502,821.6408672875502,formal_hiring_balance,CE,CE
2018-04-01,pre,3098,2093.7738556049444,1004.2261443950556,formal_hiring_balance,CE,CE
2018-05-01,pre,2039,161.58238762007824,1877.4176123799218,formal_hiring_balance,CE,CE
2018-06-01,pre,725,-170.40557829214507,895.405578292145,formal_hiring_balance,CE,CE
2018-07-01,pre,794,755.7838831814533,38.21611681854665,formal_hiring_balance,CE,CE
2018-08-01,pre,4661,4400.370644627673,260.62935537232715,formal_hiring_balance,CE,CE
2018-09-01,pre,6355,5933.151219164295,421.84878083570493,formal_hiring_balance,CE,CE
2018-10-01,pre,3669,1918.148985463516,1750.851014536484,formal_hiring_balance,CE,CE
2018-11-01,pre,2249,2172.062160596879,76.93783940312096,formal_hiring_balance,CE,CE
2019-01-01,post,-4982,-2495.2365800244106,-2486.7634199755894,formal_hiring_balance,CE,CE
2019-02-01,post,1865,2118.391310121544,-253.39131012154394,formal_hiring_balance,CE,CE
2019-03-01,post,-4638,-1752.197611545468,-2885.802388454532,formal_hiring_balance,CE,CE
2019-04-01,post,2153,3431.834501851657,-1278.834501851657,formal_hiring_balance,CE,CE
2019-05-01,post,-1428,413.9188613344595,-1841.9188613344595,formal_hiring_balance,CE,CE
2019-06-01,post,-122,693.6596058232465,-815.6596058232465,formal_hiring_balance,CE,CE
2019-07-01,post,890,766.0612113253001,123.93878867469994,formal_hiring_balance,CE,CE
2019-08-01,post,4525,4740.623983092364,-215.62398309236414,formal_hiring_balance,CE,CE
2019-09-01,post,6323,6276.928990895823,46.07100910417739,formal_hiring_balance,CE,CE
2019-10-01,post,3496,2444.6815914050844,1051.3184085949156,formal_hiring_balance,CE,CE
2019-11-01,post,4860,3763.700228676639,1096.2997713233608,formal_hiring_balance,CE,CE
2019-12-01,post,-3396,-7054.688756438076,3658.688756438076,formal_hiring_balance,CE,CE
2020-01-01,post,2414,1466.8854622091603,947.1145377908397,formal_hiring_balance,CE,CE
2020-02-01,post,7017,2289.1313004835874,4727.868699516413,formal_hiring_balance,CE,CE
